FECHA,CODPRO,CANTID,NETO
19/07/2018,DS451758,2,14980
19/07/2018,DS460244,1,47490
19/07/2018,DS460250,2,165980
19/07/2018,DS460115,1,9990
19/07/2018,DS455544,1,11490
19/07/2018,DS460567,1,1490
19/07/2018,DS452716,2,42980
19/07/2018,DS469693,2,173980
19/07/2018,DS463455,1,11490
19/07/2018,DS469110,1,119500
19/07/2018,DS459757,3,103470
19/07/2018,DS462415,1,27100
19/07/2018,DS461555,1,12900
19/07/2018,DS454025,1,17490
19/07/2018,DS453142,4,61960
19/07/2018,DS455889,2,31980
19/07/2018,DS462963,1,10490
19/07/2018,DS469744,2,130980
19/07/2018,DS453860,4,15960
19/07/2018,DS455889,4,65960
19/07/2018,DS460115,4,39960
19/07/2018,DS462808,4,27960
19/07/2018,DS462482,1,19490
19/07/2018,DS463505,1,25990
19/07/2018,DS458240,1,21990
19/07/2018,DS453860,5,19950
19/07/2018,DS454484,1,87490
19/07/2018,DS468989,1,26042
19/07/2018,DS469685,1,168400
19/07/2018,DS463480,1,129490
19/07/2018,DS460936,1,11400
19/07/2018,DS454022,6,371940
19/07/2018,DS461193,2,24980
19/07/2018,DS462843,1,7990
19/07/2018,DS462907,1,12990
19/07/2018,DS469697,1,11400
19/07/2018,DS463296,1,10900
19/07/2018,DS460810,1,11490
19/07/2018,DS460033,1,9490
19/07/2018,DS461138,1,14990
19/07/2018,DS469697,2,22800
19/07/2018,DS462677,3,12579
19/07/2018,DS469706,2,127980
19/07/2018,DS461562,2,15110
19/07/2018,DS461563,2,26722
19/07/2018,DS469691,3,65970
19/07/2018,DS459027,1,13490
19/07/2018,DS460811,2,61980
19/07/2018,DS452705,2,174980
19/07/2018,DS463019,1,39990
19/07/2018,DS460117,1,42990
19/07/2018,DS461068,1,21490
19/07/2018,DS460115,2,19980
19/07/2018,DS460547,10,74900
18/07/2018,DS463540,1,19990
18/07/2018,DS453753,1,23490
18/07/2018,DS461370,1,20490
18/07/2018,DS461337,2,21980
18/07/2018,DS463345,6,1072002
18/07/2018,DS463344,12,814800
18/07/2018,DS463343,5,306600
18/07/2018,DS462998,2,33980
18/07/2018,DS463022,2,185980
18/07/2018,DS459757,1,37990
18/07/2018,DS462907,1,12990
18/07/2018,DS462909,1,8395
18/07/2018,DS460978,2,17980
18/07/2018,DS462965,3,59970
18/07/2018,DS461562,1,7555
18/07/2018,DS462909,1,8395
18/07/2018,DS462910,1,12521
18/07/2018,DS461524,1,6714
18/07/2018,DS469023,1,23101
18/07/2018,DS469024,1,19319
18/07/2018,DS469025,1,23521
18/07/2018,DS469026,1,23521
18/07/2018,DS469027,1,29403
18/07/2018,DS469028,1,22260
18/07/2018,DS453364,1,183490
18/07/2018,DS469637,1,127490
18/07/2018,DS463343,5,306600
18/07/2018,DS463344,12,814800
18/07/2018,DS463345,6,1072002
18/07/2018,DS469692,1,50490
18/07/2018,DS463515,1,28983
18/07/2018,DS469690,2,21980
18/07/2018,DS455249,1,2915
18/07/2018,DS455250,1,2915
18/07/2018,DS455251,1,2915
18/07/2018,DS460936,1,11400
18/07/2018,DS462773,2,190980
18/07/2018,DS469611,2,15980
18/07/2018,DS468989,1,26042
18/07/2018,DS463391,1,16723
18/07/2018,DS451950,1,27490
18/07/2018,DS453753,3,70470
18/07/2018,DS461154,1,49990
18/07/2018,DS462843,2,15980
18/07/2018,DS453276,10,54900
18/07/2018,DS469681,6,3416940
17/07/2018,DS458746,3,40470
17/07/2018,DS469022,1,267490
17/07/2018,DS460244,1,47490
17/07/2018,DS460116,4,27960
17/07/2018,DS455544,1,12490
17/07/2018,DS462764,1,16990
17/07/2018,DS469021,1,62490
17/07/2018,DS463544,1,12990
17/07/2018,DS455544,1,12490
17/07/2018,DS462877,1,9990
17/07/2018,DS460532,1,83490
17/07/2018,DS462882,1,14490
17/07/2018,DS463553,1,14490
17/07/2018,DS462915,2,31980
17/07/2018,DS460260,1,11990
17/07/2018,DS463475,1,285490
17/07/2018,DS461078,1,8490
17/07/2018,DS453444,1,44490
17/07/2018,DS469616,1,325490
17/07/2018,DS469617,1,92490
17/07/2018,DS469618,1,243490
17/07/2018,DS469619,1,69990
17/07/2018,DS455249,1,2915
17/07/2018,DS455250,1,2915
17/07/2018,DS455251,1,2915
17/07/2018,DS460115,1,9990
17/07/2018,DS462901,1,78990
17/07/2018,DS460936,1,11400
17/07/2018,DS460662,1,6990
17/07/2018,DS463480,1,129490
17/07/2018,DS462764,2,33980
17/07/2018,DS460942,15,157350
17/07/2018,DS462476,2,95980
17/07/2018,DS462962,10,364900
17/07/2018,DS469034,1,142490
17/07/2018,DS462877,1,9990
17/07/2018,DS463019,2,79980
17/07/2018,DS469586,3,35970
13/07/2018,DS453860,6,23940
13/07/2018,DS451737,1,110990
13/07/2018,DS468988,2,17980
13/07/2018,DS468969,1,27490
13/07/2018,DS455654,1,51490
13/07/2018,DS460244,1,46490
13/07/2018,DS463019,1,39990
13/07/2018,DS453276,3,16470
13/07/2018,DS460115,1,9990
13/07/2018,DS462965,1,19990
13/07/2018,DS463505,2,51980
13/07/2018,DS454484,2,174980
13/07/2018,DS459249,1,26990
13/07/2018,DS460978,1,9490
13/07/2018,DS462963,1,10490
13/07/2018,DS458509,3,76470
13/07/2018,DS461078,1,8990
13/07/2018,DS468967,1,90990
13/07/2018,DS463491,1,23445
13/07/2018,DS462998,2,33980
13/07/2018,DS462942,8,79920
11/07/2018,DS452718,1,20490
10/07/2018,DS463021,1,12990
10/07/2018,DS461053,1,9490
10/07/2018,DS455249,5,14575
10/07/2018,DS455250,5,14575
10/07/2018,DS455251,5,14575
10/07/2018,DS463258,1,8395
10/07/2018,DS453364,1,182990
10/07/2018,DS463286,1,20490
10/07/2018,DS463292,1,99800
10/07/2018,DS463277,1,23990
10/07/2018,DS461273,3,28470
