FECHA,CANTID,NETO
20/03/2018,2,32622
20/03/2018,1,56583
20/03/2018,1,16311
20/03/2018,1,23059
20/03/2018,1,64790
20/03/2018,5,81555
21/03/2018,1,77354
21/03/2018,1,16218
21/03/2018,1,12077
21/03/2018,1,16311
21/03/2018,1,16164
22/03/2018,1,33576
22/03/2018,1,75064
22/03/2018,1,17403
22/03/2018,1,137298
23/03/2018,1,15229
23/03/2018,8,538544
23/03/2018,1,16349
23/03/2018,1,334020
23/03/2018,2,30458
26/03/2018,2,181416
28/03/2018,2,1054812
28/03/2018,2,785514
28/03/2018,1,21538
28/03/2018,1,18664
28/03/2018,1,13293
28/03/2018,2,199204
28/03/2018,2,248710
29/03/2018,1,33935
29/03/2018,1,23785
29/03/2018,1,2915
29/03/2018,1,13610
29/03/2018,3,88899
29/03/2018,3,51198
29/03/2018,1,23785
02/04/2018,2,5830
02/04/2018,4,11660
02/04/2018,2,5830
02/04/2018,2,5830
02/04/2018,2,31000
02/04/2018,2,31000
02/04/2018,2,29000
02/04/2018,2,5830
02/04/2018,1,2915
02/04/2018,1,2915
02/04/2018,1,2915
02/04/2018,2,45154
02/04/2018,1,26105
02/04/2018,1,117610
03/04/2018,1,32228
03/04/2018,20,312460
03/04/2018,2,28000
03/04/2018,2,59164
03/04/2018,1,18932
03/04/2018,4,11660
03/04/2018,2,67984
03/04/2018,1,60146
03/04/2018,3,71355
03/04/2018,1,22213
03/04/2018,1,17781
04/04/2018,1,156227
04/04/2018,1,373024
06/04/2018,1,106480
06/04/2018,6,204762
09/04/2018,1,26105
09/04/2018,1,57478
09/04/2018,1,19503
09/04/2018,5,87975
09/04/2018,6,62838
10/04/2018,1,17156
10/04/2018,2,5830
10/04/2018,1,2915
10/04/2018,1,2915
10/04/2018,1,2915
10/04/2018,1,122658
10/04/2018,1,15623
10/04/2018,1,16253
10/04/2018,1,2915
10/04/2018,2,5830
10/04/2018,2,5830
10/04/2018,2,5830
10/04/2018,2,5830
10/04/2018,1,193750
10/04/2018,1,114844
10/04/2018,1,57478
10/04/2018,1,39119
10/04/2018,2,5830
10/04/2018,1,2915
10/04/2018,1,2915
10/04/2018,1,2915
10/04/2018,2,34312
10/04/2018,1,14000
11/04/2018,1,58900
11/04/2018,10,29150
12/04/2018,2,140026
12/04/2018,1,2915
12/04/2018,1,2915
12/04/2018,1,108619
12/04/2018,1,396382
12/04/2018,8,23320
12/04/2018,4,244840
12/04/2018,2,122420
13/04/2018,2,16972
13/04/2018,1,13490
13/04/2018,1,13490
13/04/2018,1,13490
13/04/2018,1,13490
13/04/2018,1,13490
13/04/2018,1,198643
13/04/2018,5,79675
13/04/2018,1,34149
13/04/2018,1,115427
13/04/2018,1,225908
13/04/2018,1,23117
16/04/2018,2,31000
17/04/2018,1,42710
17/04/2018,1,33443
17/04/2018,1,63990
17/04/2018,2,31000
17/04/2018,1,102280
17/04/2018,1,18944
17/04/2018,3,45312
17/04/2018,3,2175348
17/04/2018,2,126310
17/04/2018,1,16685
17/04/2018,1,15190
17/04/2018,1,395409
17/04/2018,1,60945
17/04/2018,1,102280
17/04/2018,1,17927
17/04/2018,1,37417
17/04/2018,1,16296
19/04/2018,1,20588
19/04/2018,1,26520
19/04/2018,10,156230
19/04/2018,1,30567
19/04/2018,1,30567
19/04/2018,1,77350
19/04/2018,2,37888
19/04/2018,2,28000
19/04/2018,1,18405
19/04/2018,3,53970
19/04/2018,1,326833
19/04/2018,1,20769
19/04/2018,1,37397
19/04/2018,1,48314
19/04/2018,3,73269
19/04/2018,1,35217
19/04/2018,1,23785
20/04/2018,1,26957
20/04/2018,2,41426
20/04/2018,1,40014
20/04/2018,1,136025
20/04/2018,1,39000
20/04/2018,1,16614
20/04/2018,6,17490
20/04/2018,1,18944
23/04/2018,1,126548
23/04/2018,4,19872
23/04/2018,1,70013
23/04/2018,1,88751
23/04/2018,1,31237
23/04/2018,1,31237
24/04/2018,1,20000
24/04/2018,2,68980
24/04/2018,1,47970
24/04/2018,1,37470
24/04/2018,1,177233
24/04/2018,1,54820
24/04/2018,1,219502
24/04/2018,1,296295
24/04/2018,1,107803
24/04/2018,2,5830
24/04/2018,2,5830
24/04/2018,2,5830
24/04/2018,2,5830
24/04/2018,2,5830
24/04/2018,1,15500
24/04/2018,5,28090
24/04/2018,1,126548
24/04/2018,1,294939
24/04/2018,1,125686
24/04/2018,2,69980
24/04/2018,2,69980
24/04/2018,1,39000
24/04/2018,1,15623
24/04/2018,1,219502
24/04/2018,1,54820
25/04/2018,1,296295
26/04/2018,1,54820
26/04/2018,1,218771
26/04/2018,1,295320
26/04/2018,1,35914
26/04/2018,4,77016
26/04/2018,2,12096
26/04/2018,1,17531
27/04/2018,3,36936
27/04/2018,1,454995
27/04/2018,2,676424
27/04/2018,1,17835
27/04/2018,1,17074
27/04/2018,1,28728
30/04/2018,1,17730
30/04/2018,2,5830
30/04/2018,1,2915
30/04/2018,1,2915
